,prompt,chosen,rejected
65,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
야간 연장 서비스를 제공하거나 이름에 구립이 들어가는 어린이집의 이름과 보육실의 수를 알려줘

### context:
CREATE TABLE child_care_info_g_d (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(19) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(58) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  CRHOME varchar(47) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(9) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  CRSPEC varchar(21) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(7) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(7) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
","SELECT CRNAME, NRTRROOMCNT FROM CHILD_CARE_INFO_G_D WHERE CRSPEC = '야간연장' OR CRNAME LIKE '%구립%'","SELECT CRNAME, NRTRROOMCNT FROM CHILD_CARE_INFO_G_D WHERE PLGRDCO = 'Y' OR CRNAME LIKE '%구립%'"
66,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
하나복지지역아동센터의 기본 주소를 알려줘

### context:
CREATE TABLE tn_fclty_sttus_info1003 (  FCLTY_ID varchar(13) DEFAULT NULL,  FCLTY_NM varchar(30) DEFAULT NULL,  SVC_CL_CODE bigint DEFAULT NULL,  SVC_CL_NM varchar(11) DEFAULT NULL,  ATDRC_CODE bigint DEFAULT NULL,  ATDRC_NM varchar(9) DEFAULT NULL,  AGE_SE_CODE bigint DEFAULT NULL,  AGE_SE_NM varchar(9) DEFAULT NULL,  X_CRDNT_VALUE bigint DEFAULT NULL,  Y_CRDNT_VALUE bigint DEFAULT NULL,  ZIP bigint DEFAULT NULL,  BASS_ADRES varchar(29) DEFAULT NULL,  DETAIL_ADRES varchar(45) DEFAULT NULL,  RNTFEE_FREE_AT varchar(6) DEFAULT NULL,  RNTFEE varchar(10) DEFAULT NULL,  SEMSTR_BEGIN_TIME bigint DEFAULT NULL,  SEMSTR_END_TIME bigint DEFAULT NULL,  VCTN_BEGIN_TIME bigint DEFAULT NULL,  VCTN_END_TIME bigint DEFAULT NULL,  SAT_OPER_AT varchar(6) DEFAULT NULL,  SAT_OPER_BEGIN_TIME bigint DEFAULT NULL,  SAT_OPER_END_TIME bigint DEFAULT NULL,  REGIST_DT varchar(19) DEFAULT NULL,  UPDT_DT varchar(19) DEFAULT NULL) ;

### Response:
",SELECT BASS_ADRES FROM TN_FCLTY_STTUS_INFO1003 WHERE FCLTY_NM = '하나복지지역아동센터',SELECT BASS_ADRES FROM TN_FCLTY_STTUS_INFO1003 WHERE FCLTY_NM = '하나복지지역아동센터'
67,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
어린이집 유형이 가정이거나 국공립인 곳의 어린이집명은 뭐야

### context:
CREATE TABLE child_care_info_d_b (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(25) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRHOME varchar(64) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(10) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(6) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_D_B WHERE CRTYPENAME = '국공립' OR CRTYPENAME = '가정',SELECT CRNAME FROM CHILD_CARE_INFO_D_B WHERE CRTYPENAME = '가정' OR CRTYPENAME = '국공립'
68,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
기본 주소에 종암로가 들어가거나 야외시설 이름이 새말소공원인 곳의 X 좌표값과 Y 좌표값을 보여줘

### context:
CREATE TABLE tn_fclty_sttus_info10071 (  CLTUR_EVENT_ETC_NM varchar(44) DEFAULT NULL,  SVC_CL_CODE bigint DEFAULT NULL,  SVC_CL_NM varchar(9) DEFAULT NULL,  ATDRC_CODE bigint DEFAULT NULL,  ATDRC_NM varchar(9) DEFAULT NULL,  AGE_SE_CODE bigint DEFAULT NULL,  AGE_SE_NM varchar(9) DEFAULT NULL,  FCLTY_CL_CODE bigint DEFAULT NULL,  FCLTY_CL_NM varchar(10) DEFAULT NULL,  X_CRDNT_VALUE bigint DEFAULT NULL,  Y_CRDNT_VALUE bigint DEFAULT NULL,  ZIP varchar(11) DEFAULT NULL,  BASS_ADRES varchar(49) DEFAULT NULL,  DETAIL_ADRES varchar(59) DEFAULT NULL,  RNTFEE_FREE_AT varchar(6) DEFAULT NULL,  RNTFEE varchar(10) DEFAULT NULL,  GUIDANCE_URL varchar(190) DEFAULT NULL,  REGIST_DT varchar(19) DEFAULT NULL,  UPDT_DT varchar(19) DEFAULT NULL) ;

### Response:
","SELECT X_CRDNT_VALUE, Y_CRDNT_VALUE FROM TN_FCLTY_STTUS_INFO10071 WHERE BASS_ADRES LIKE '%종암로%' OR CLTUR_EVENT_ETC_NM = '새말소공원'","SELECT X_CRDNT_VALUE, Y_CRDNT_VALUE FROM TN_FCLTY_STTUS_INFO10071 WHERE BASS_ADRES LIKE '%종암로%' OR CLTUR_EVENT_ETC_NM = '새말소공원'"
69,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
장애인 전용 주차구역이 있고 장애인용 승강기가 있는 시설의 주소는 뭐야

### context:
CREATE TABLE view_amenities_info (  SEQ varchar(9) DEFAULT NULL,  SISULNAME varchar(30) DEFAULT NULL,  GU varchar(9) DEFAULT NULL,  ADDR varchar(52) DEFAULT NULL,  TEL varchar(31) DEFAULT NULL,  HOMEPAGE varchar(150) DEFAULT NULL,  HIT varchar(7) DEFAULT NULL,  ST1 varchar(6) DEFAULT NULL,  ST2 varchar(6) DEFAULT NULL,  ST3 varchar(6) DEFAULT NULL,  ST4 varchar(6) DEFAULT NULL,  ST5 varchar(6) DEFAULT NULL,  ST9 varchar(6) DEFAULT NULL,  ST10 varchar(6) DEFAULT NULL,  ST11 varchar(6) DEFAULT NULL,  ST12 varchar(6) DEFAULT NULL) ;

### Response:
",SELECT ADDR FROM VIEW_AMENITIES_INFO WHERE ST2 = 'Y' AND ST4 = 'Y',SELECT ADDR FROM VIEW_AMENITIES_INFO WHERE ST10 = '1' AND ST5 = '1'
70,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
자치구 이름이 2글자인 어린이집의 현원 합계는 얼마야

### context:
CREATE TABLE stat_sisul_entry_number_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  PNTOT bigint DEFAULT NULL,  PN0101 bigint DEFAULT NULL,  PN0201 bigint DEFAULT NULL,  PN0301 bigint DEFAULT NULL,  PN0302 bigint DEFAULT NULL,  PN0401 bigint DEFAULT NULL,  PN0501 bigint DEFAULT NULL,  PN0603 bigint DEFAULT NULL) ;

### Response:
",SELECT PNTOT FROM STAT_SISUL_ENTRY_NUMBER_INFO WHERE ARCODENM LIKE '__',SELECT PNTOT FROM STAT_SISUL_ENTRY_NUMBER_INFO WHERE ARCODENM = '02'
71,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설 종류명에 아동이 들어가는 시설의 이름과 주소를 보여줘

### context:
CREATE TABLE fclt_open_info_j_r (  FCLT_NM varchar(28) DEFAULT NULL,  FCLT_KIND_NM varchar(33) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  JRSD_SGG_CD bigint DEFAULT NULL,  JRSD_SGG_NM varchar(8) DEFAULT NULL,  FCLT_ADDR varchar(54) DEFAULT NULL) ;

### Response:
","SELECT FCLT_ADDR, FCLT_NM FROM FCLT_OPEN_INFO_J_R WHERE FCLT_KIND_NM LIKE '%아동%'","SELECT FCLT_NM, FCLT_ADDR FROM FCLT_OPEN_INFO_J_R WHERE FCLT_KIND_NM LIKE '%아동%'"
72,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
활동자 수가 30 이상이고 학교명에 서울이 포함된 프로젝트의 작업 일시를 알려줘

### context:
CREATE TABLE volunteer_univ (  SCHOOL_NAME varchar(23) DEFAULT NULL,  ACTIVE_YEAR varchar(19) DEFAULT NULL,  ACTIVE_TERM varchar(6) DEFAULT NULL,  BATCH_CNT varchar(8) DEFAULT NULL,  WORK_DTTM varchar(19) DEFAULT NULL) ;

### Response:
",SELECT WORK_DTTM FROM VOLUNTEER_UNIV WHERE SCHOOL_NAME LIKE '%서울%' AND BATCH_CNT >= 30,SELECT WORK_DTTM FROM VOLUNTEER_UNIV WHERE BATCH_CNT >= 30 AND SCHOOL_NAME LIKE '%서울%'
73,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
구분명이 정원충족률에 해당하는 소계와 자치구 이름을 보여줘

### context:
CREATE TABLE stat_sisul_satisfied_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  GUBUN bigint DEFAULT NULL,  GUBUNNM varchar(10) DEFAULT NULL,  CNTOT varchar(11) DEFAULT NULL,  CN0101 varchar(11) DEFAULT NULL,  CN0201 varchar(11) DEFAULT NULL,  CN0301 varchar(11) DEFAULT NULL,  CN0302 varchar(11) DEFAULT NULL,  CN0401 varchar(11) DEFAULT NULL,  CN0501 varchar(11) DEFAULT NULL,  CN0603 varchar(11) DEFAULT NULL) ;

### Response:
","SELECT ARCODENM, CNTOT FROM STAT_SISUL_SATISFIED_INFO WHERE GUBUNNM = '정원충족률'","SELECT CNTOT, ARCODENM FROM STAT_SISUL_SATISFIED_INFO WHERE GUBUNNM = '정원충족률'"
74,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
현원이 30명인 곳의 어린이집명을 찾아줘

### context:
CREATE TABLE child_care_info_g_j (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(21) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  CRADDR varchar(55) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE bigint DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  CRSPEC varchar(24) DEFAULT NULL,  CLASS_CNT_01 varchar(7) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_G_J WHERE CRCHCNT = '30',SELECT CRNAME FROM CHILD_CARE_INFO_G_J WHERE CRCARGBNAME = '30'
75,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
중구에서 야간 연장 서비스를 제공하고 통학차량을 운영하는 어린이집의 유형을 알려줘

### context:
CREATE TABLE child_care_info_j_g (  SIGUNNAME varchar(7) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(26) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(50) DEFAULT NULL,  CRTELNO varchar(17) DEFAULT NULL,  CRHOME varchar(40) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE bigint DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(22) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(6) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(6) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRTYPENAME FROM CHILD_CARE_INFO_J_G WHERE CRSPEC LIKE '%야간연장%' AND CRCARGBNAME = '운영',SELECT CRTYPENAME FROM CHILD_CARE_INFO_J_G WHERE CRADDR LIKE '%중구%' AND CHCRTESCNT = '1'
76,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
한국어 상담이 50건 이하이고 영어 상담이 100건 이상인 기관 및 유형의 평균 한국어 상담 수와 평균 영어 상담 수를 기관 및 유형별로 알려줘

### context:
CREATE TABLE global_job_counsel_lng_type_rst (  YYYYMM varchar(19) DEFAULT NULL,  CATEGORY_NM varchar(9) DEFAULT NULL,  TYPE0 bigint DEFAULT NULL,  TYPE1 bigint DEFAULT NULL,  TYPE2 bigint DEFAULT NULL,  TYPE4 bigint DEFAULT NULL,  TYPE5 bigint DEFAULT NULL,  TYPE6 bigint DEFAULT NULL,  TYPE7 bigint DEFAULT NULL,  TYPE8 bigint DEFAULT NULL,  TYPE9 bigint DEFAULT NULL,  TYPE10 bigint DEFAULT NULL,  TYPE11 bigint DEFAULT NULL,  TYPE12 bigint DEFAULT NULL,  TYPE13 bigint DEFAULT NULL,  TYPE14 bigint DEFAULT NULL,  TYPE15 bigint DEFAULT NULL,  TYPE_SUM bigint DEFAULT NULL) ;

### Response:
","SELECT CATEGORY_NM, AVG(TYPE0), AVG(TYPE1) FROM GLOBAL_JOB_COUNSEL_LNG_TYPE_RST WHERE TYPE0 <= 50 AND TYPE1 >= 100 GROUP BY CATEGORY_NM","SELECT CATEGORY_NM, AVG(TYPE0) AS TYPE0_AVG, AVG(TYPE4) AS TYPE4_AVG FROM GLOBAL_JOB_COUNSEL_LNG_TYPE_RST WHERE TYPE4 >= 100 AND TYPE0 <= 50 GROUP BY CATEGORY_NM"
77,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
2015년에 인가를 받은 어린이집의 이름을 가나다순으로 정렬해서 보여줘

### context:
CREATE TABLE child_care_info_g_r (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(21) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(58) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  CRHOME varchar(51) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(11) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(22) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_G_R WHERE CRCNFMDT LIKE '2015%' ORDER BY CRNAME ASC,SELECT CRNAME FROM CHILD_CARE_INFO_G_R WHERE CRABLDT LIKE '2015%' ORDER BY CRNAME
78,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
시설 수 합계가 193개인 자치구명을 알려줘

### context:
CREATE TABLE stat_child_number_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  CNTTOT bigint DEFAULT NULL,  CNT0101 bigint DEFAULT NULL,  CNT0201 bigint DEFAULT NULL,  CNT0301 bigint DEFAULT NULL,  CNT0302 bigint DEFAULT NULL,  CNT0401 bigint DEFAULT NULL,  CNT0501 bigint DEFAULT NULL,  CNT0603 bigint DEFAULT NULL) ;

### Response:
",SELECT ARCODENM FROM STAT_CHILD_NUMBER_INFO WHERE CNTTOT = 193,SELECT ARCODENM FROM STAT_CHILD_NUMBER_INFO WHERE CNTTOT = 193
79,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
남자 보육아동 수가 5000명 이상인 자치구의 이름을 중복 없이 보여줘

### context:
CREATE TABLE stat_one_per_child_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  CHILDMPN bigint DEFAULT NULL,  CHILDFPN bigint DEFAULT NULL,  TEACHERMPN bigint DEFAULT NULL,  TEACHERFPN bigint DEFAULT NULL,  TEACHERRATE bigint DEFAULT NULL) ;

### Response:
",SELECT DISTINCT ARCODENM FROM STAT_ONE_PER_CHILD_INFO WHERE CHILDMPN >= 5000,SELECT ARCODENM FROM STAT_ONE_PER_CHILD_INFO WHERE CHILDMPN >= 5000 GROUP BY ARCODENM
80,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
쟌쥬강의집의 시설 주소를 알려줘

### context:
CREATE TABLE fclt_open_info_g_s (  FCLT_NM varchar(36) DEFAULT NULL,  GS_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  GS_WELFARE_FCLT_KIND_NM varchar(26) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  FCLT_ADDR varchar(63) DEFAULT NULL) ;

### Response:
",SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_S WHERE FCLT_NM = '쟌쥬강의집',SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_S WHERE FCLT_NM = '쟌쥬강의집'
81,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
보육실 면적이 207인 어린이집의 이름을 알려줘

### context:
CREATE TABLE child_care_info_g_n (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(25) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(55) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(22) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_02 varchar(7) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CHILD_CNT_00 varchar(7) DEFAULT NULL,  CHILD_CNT_01 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_G_N WHERE NRTRROOMSIZE = '207',SELECT CRNAME FROM CHILD_CARE_INFO_G_N WHERE NRTRROOMSIZE = '207'
82,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
장애인 직업재활시설 종류에 직업 적응이 들어가는 시설의 이름과 주소가 뭐야

### context:
CREATE TABLE fclt_open_info_o_w_s_i (  FCLT_NM varchar(27) DEFAULT NULL,  DISABLED_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  DISABLED_WELFARE_FCLT_KIND_NM varchar(22) DEFAULT NULL,  DISABLED_WELFARE_FCLT_KIND_DTL_NM varchar(14) DEFAULT NULL,  JRSD_SGG_NM varchar(10) DEFAULT NULL,  FCLT_ADDR varchar(59) DEFAULT NULL) ;

### Response:
","SELECT FCLT_NM, FCLT_ADDR FROM FCLT_OPEN_INFO_O_W_S_I WHERE DISABLED_WELFARE_FCLT_KIND_NM LIKE '%직업적응%'","SELECT FCLT_NM, FCLT_ADDR FROM FCLT_OPEN_INFO_O_W_S_I WHERE DISABLED_WELFARE_FCLT_KIND_DTL_NM LIKE '%직업적응%'"
